Date,Close
2017-11-13,52.06
2017-11-14,52.08
2017-11-15,51.82
2017-11-16,52.42
2017-11-17,51.79
2017-11-20,51.73
2017-11-21,52.52
2017-11-22,52.6
2017-11-24,52.83
2017-11-27,53.6
2017-11-28,53.16
2017-11-29,51.87
2017-11-30,51.81
2017-12-01,51.25
2017-12-04,50.59
2017-12-05,50.98
2017-12-06,51.64
2017-12-07,52.23
2017-12-08,52.47
2017-12-11,52.6
2017-12-12,52.44
2017-12-13,52.57
2017-12-14,52.87
2017-12-15,53.6
2017-12-18,54.25
2017-12-19,53.99
2017-12-20,53.68
2017-12-21,53.54
2017-12-22,53.44
2017-12-26,53.29
2017-12-27,53.01
2017-12-28,52.8
2017-12-29,52.67
